accuracy,auc_3,loss,precision_3,val_accuracy,val_auc_3,val_loss,val_precision_3
0.9494724273681641,0.9392254948616028,0.1474774032831192,0.8069711923599243,0.9624138474464417,0.9647156000137329,0.11067347973585129,0.9018142819404602
0.9584789872169495,0.9586412310600281,0.11942964047193527,0.8617743253707886,0.9631291627883911,0.9652233719825745,0.10850229114294052,0.927293062210083
0.9602184891700745,0.9603025317192078,0.1148013025522232,0.8857881426811218,0.9669657945632935,0.9691870808601379,0.10053395479917526,0.9119119048118591
0.9644778966903687,0.9657408595085144,0.10495525598526001,0.929857075214386,0.9692417979240417,0.9729372262954712,0.09171222895383835,0.952531635761261
0.9672253727912903,0.9689629077911377,0.09830024838447571,0.961133599281311,0.970542311668396,0.9744429588317871,0.08814498782157898,0.9845474362373352
0.9685909748077393,0.9709450602531433,0.094071164727211,0.97555011510849,0.970542311668396,0.9762911200523376,0.08518043905496597,0.966029703617096
0.9691274762153625,0.9727394580841064,0.09119435399770737,0.9819967150688171,0.9716477990150452,0.9776272177696228,0.08267216384410858,0.9955703020095825
0.9693225622177124,0.9739029407501221,0.08900100737810135,0.9804878234863281,0.9713876843452454,0.9779234528541565,0.08178313076496124,0.9764705896377563
0.969842791557312,0.9746916890144348,0.08781878650188446,0.9824703335762024,0.9722330570220947,0.9783318638801575,0.08196453005075455,0.990238606929779
0.9697452783584595,0.9750288724899292,0.08690636605024338,0.9837486743927002,0.9683313965797424,0.976448655128479,0.08595644682645798,0.8988657593727112
0.9698265194892883,0.9752606153488159,0.08666398376226425,0.9809088706970215,0.9724281430244446,0.978094756603241,0.0822107121348381,0.9641760587692261
0.9700216054916382,0.9752427339553833,0.08632629364728928,0.9840841889381409,0.9724281430244446,0.9773069024085999,0.08147158473730087,0.9934711456298828
0.9699891209602356,0.9751209020614624,0.08608777821063995,0.981994092464447,0.9723631143569946,0.976865291595459,0.08198212087154388,0.9708939790725708
0.9701679348945618,0.9753600358963013,0.08597549051046371,0.9849056601524353,0.9724281430244446,0.9779266715049744,0.08115624636411667,0.994547426700592
0.9701354503631592,0.9753826856613159,0.08574571460485458,0.984375,0.9724931716918945,0.9779473543167114,0.08142596483230591,0.9956331849098206
0.9701679348945618,0.9757307767868042,0.08553203195333481,0.985429048538208,0.9728833436965942,0.9778099656105042,0.08135758340358734,0.9945887327194214
0.9701516628265381,0.9755138754844666,0.08545168489217758,0.9859497547149658,0.9725582003593445,0.9782564640045166,0.08260814100503922,0.9759162068367004
0.9700378775596619,0.9755829572677612,0.08548545837402344,0.9853975176811218,0.9726232290267944,0.9777499437332153,0.0812092274427414,0.9945651888847351
0.9700053930282593,0.9756606817245483,0.08543150871992111,0.9856523871421814,0.9725582003593445,0.9776214361190796,0.08148296922445297,0.9945592880249023
0.9701354503631592,0.9757610559463501,0.0853235125541687,0.984375,0.9728183150291443,0.9775050282478333,0.0813065692782402,0.9924487471580505
0.9702329635620117,0.9757946729660034,0.08523718267679214,0.9846609234809875,0.9725582003593445,0.9775343537330627,0.08141091465950012,0.9881847500801086
0.9699403643608093,0.9757269620895386,0.08530136197805405,0.9853737950325012,0.9726232290267944,0.9774278998374939,0.08140198886394501,0.9924242496490479
0.9699565768241882,0.9757245779037476,0.08529277890920639,0.983544647693634,0.9724281430244446,0.9774514436721802,0.08212616294622421,0.9923995733261108
0.969907820224762,0.9757080078125,0.08519424498081207,0.9843158721923828,0.9715177416801453,0.9781359434127808,0.08419141173362732,0.9560776352882385
