accuracy,auc,loss,precision,val_accuracy,val_auc,val_loss,val_precision
0.9137227535247803,0.8441270589828491,0.23124085366725922,0.5163466334342957,0.9449863433837891,0.9104732275009155,0.1644289195537567,0.9188255667686462
0.9445139765739441,0.9083198308944702,0.1660960465669632,0.9372294545173645,0.9471322894096375,0.9181383848190308,0.15577277541160583,0.9575971961021423
0.9454406499862671,0.918091893196106,0.15879085659980774,0.9625835418701172,0.9473273754119873,0.9267975091934204,0.14979751408100128,0.9744991064071655
0.9454081654548645,0.9233644008636475,0.15475675463676453,0.9548443555831909,0.9473924040794373,0.9292348623275757,0.1482487916946411,0.9780219793319702
0.9454243779182434,0.9246211647987366,0.15344208478927612,0.9532750844955444,0.947782576084137,0.9294300079345703,0.14710767567157745,0.9429529905319214
0.9453918933868408,0.9254100322723389,0.15287886559963226,0.9435414671897888,0.9473273754119873,0.9294670820236206,0.14743132889270782,0.9887429475784302
0.9454894065856934,0.9255606532096863,0.1527227908372879,0.9537521600723267,0.9464820027351379,0.9298509359359741,0.14779087901115417,0.9096774458885193
0.9454731941223145,0.9258012175559998,0.15256968140602112,0.9505851864814758,0.9470672607421875,0.929813027381897,0.14696627855300903,0.9495652318000793
0.9455219507217407,0.9258847236633301,0.15223544836044312,0.9545851349830627,0.9468071460723877,0.9291143417358398,0.1480746865272522,0.9384615421295166
0.9458308219909668,0.9257778525352478,0.15233680605888367,0.9565406441688538,0.9475224614143372,0.9306634664535522,0.1466357409954071,0.9455782175064087
0.9457495212554932,0.9262664318084717,0.1521369367837906,0.9572426080703735,0.9473273754119873,0.9306308031082153,0.146529421210289,0.9407783150672913
0.9460421800613403,0.9260969161987305,0.1520106941461563,0.9532589912414551,0.9466770887374878,0.9303050637245178,0.1502850204706192,0.8729926943778992
0.9458958506584167,0.9259650707244873,0.15208977460861206,0.9606127142906189,0.9473273754119873,0.9303668737411499,0.14657773077487946,0.9594356417655945
0.9457495212554932,0.9264583587646484,0.15183018147945404,0.9592462778091431,0.9470672607421875,0.9305455684661865,0.148774653673172,0.8922610282897949
0.9456682801246643,0.9262546896934509,0.1519157439470291,0.956749677658081,0.9475874900817871,0.9301729202270508,0.14671014249324799,0.9816513657569885
0.9456357359886169,0.9265356659889221,0.1517784744501114,0.9591208696365356,0.9475874900817871,0.93055260181427,0.14630405604839325,0.9781420826911926
0.9458958506584167,0.9267303943634033,0.15163220465183258,0.9610161781311035,0.9474574327468872,0.929810643196106,0.1467667669057846,0.9677996635437012
0.946058452129364,0.9262315034866333,0.1516515016555786,0.9611862301826477,0.947717547416687,0.9297876358032227,0.14747600257396698,0.9298532009124756
0.9457657933235168,0.9263868927955627,0.1515544354915619,0.9540926814079285,0.9475874900817871,0.9306259155273438,0.1468028724193573,0.9764065146446228
0.9458308219909668,0.9264336824417114,0.15165816247463226,0.9650287628173828,0.9475874900817871,0.9305131435394287,0.14639045298099518,0.9746835231781006
0.9457170367240906,0.9269498586654663,0.1514797806739807,0.9584063291549683,0.9471322894096375,0.9301949739456177,0.14641129970550537,0.9389830231666565
0.9460421800613403,0.9267266988754272,0.15146423876285553,0.9603658318519592,0.9478475451469421,0.9293380379676819,0.1473017930984497,0.9853211045265198
0.9459771513938904,0.9265854954719543,0.15153537690639496,0.9598953723907471,0.9471973180770874,0.9298162460327148,0.14704513549804688,0.9451115131378174
0.9457170367240906,0.927321195602417,0.15133561193943024,0.9512931108474731,0.9475874900817871,0.9300747513771057,0.14662308990955353,0.9597197771072388
0.9459121227264404,0.9268704652786255,0.15139764547348022,0.9590235352516174,0.9472623467445374,0.9297202229499817,0.1471891850233078,0.9659498333930969
0.9458145499229431,0.9270201325416565,0.15129618346691132,0.9541522264480591,0.9473924040794373,0.9301276206970215,0.1473933756351471,0.9484536051750183
