accuracy,auc,loss,precision,val_accuracy,val_auc,val_loss,val_precision
0.933312714099884,0.8748231530189514,0.20221194624900818,0.8538011908531189,0.9434906840324402,0.9121644496917725,0.16632750630378723,0.8875839114189148
0.9428232312202454,0.9128609895706177,0.1665096879005432,0.8932676315307617,0.9458317160606384,0.9215331673622131,0.15567730367183685,0.9150000214576721
0.944644033908844,0.9223162531852722,0.15716452896595,0.9355670213699341,0.9475874900817871,0.9296132922172546,0.14974883198738098,0.9382303953170776
0.9451642632484436,0.9242092370986938,0.15465742349624634,0.9432013630867004,0.9474574327468872,0.9298514127731323,0.1472044140100479,0.9532062411308289
0.945196807384491,0.9247271418571472,0.15367372334003448,0.9413527250289917,0.9467421174049377,0.9284994602203369,0.1484166979789734,0.9252491593360901
0.945196807384491,0.9250326156616211,0.15325415134429932,0.939846396446228,0.9459617733955383,0.9292227625846863,0.14911317825317383,0.8822630047798157
0.945570707321167,0.9253913164138794,0.15286633372306824,0.946849524974823,0.9474574327468872,0.9298586845397949,0.146861732006073,0.9595782160758972
0.9453918933868408,0.9254135489463806,0.15288813412189484,0.9390347003936768,0.9470022320747375,0.9304497838020325,0.14702187478542328,0.922950804233551
0.9456357359886169,0.9255477786064148,0.15251825749874115,0.9442790150642395,0.9471973180770874,0.9287418723106384,0.14783908426761627,0.9832402467727661
0.9454731941223145,0.9253087043762207,0.15267661213874817,0.9459459185600281,0.9475874900817871,0.9293303489685059,0.14803031086921692,0.9746835231781006
0.9455382227897644,0.9257941842079163,0.15240834653377533,0.9400084614753723,0.9466120600700378,0.9291864633560181,0.14738136529922485,0.9194079041481018
0.945196807384491,0.9257484078407288,0.15246224403381348,0.9402220249176025,0.9472623467445374,0.9294731616973877,0.14694546163082123,0.9262295365333557
0.9456357359886169,0.9260779023170471,0.1523209512233734,0.9450362324714661,0.9469372034072876,0.9293293356895447,0.14768150448799133,0.967332124710083
0.9454731941223145,0.9258652329444885,0.15228448808193207,0.9482535719871521,0.9471322894096375,0.9291287660598755,0.14713071286678314,0.9480968713760376
0.9454569220542908,0.9260711669921875,0.15219897031784058,0.9501733183860779,0.947782576084137,0.9296766519546509,0.14658223092556,0.9599303007125854
0.945505678653717,0.926541268825531,0.15189872682094574,0.9440887570381165,0.9475874900817871,0.9296272993087769,0.146728053689003,0.9471890926361084
0.9454569220542908,0.9261564612388611,0.15202900767326355,0.9443969130516052,0.9472623467445374,0.9289319515228271,0.1473178118467331,0.9593639373779297
0.9456032514572144,0.9263823628425598,0.15201647579669952,0.9480463862419128,0.947717547416687,0.9293071031570435,0.1469557136297226,0.9398998618125916
0.9458470940589905,0.9270181059837341,0.15150417387485504,0.9557675719261169,0.9468071460723877,0.9292836785316467,0.14842386543750763,0.8822652697563171
0.9456357359886169,0.9267858266830444,0.15167425572872162,0.9551198482513428,0.9475224614143372,0.9291571378707886,0.14681926369667053,0.9212218523025513
0.9454894065856934,0.9266514182090759,0.15172207355499268,0.9561403393745422,0.9465470314025879,0.9289690256118774,0.14908742904663086,0.8520055413246155
0.9452943205833435,0.9268173575401306,0.1515553742647171,0.9472318291664124,0.9474574327468872,0.9289425611495972,0.14789432287216187,0.9394958019256592
0.9455544352531433,0.926826000213623,0.15148572623729706,0.9495254755020142,0.9475224614143372,0.9288259148597717,0.14706958830356598,0.962897539138794
0.945570707321167,0.9268817901611328,0.15148822963237762,0.9476169943809509,0.9475874900817871,0.9289654493331909,0.146993950009346,0.9581151604652405
0.9454406499862671,0.927050769329071,0.15141870081424713,0.950933575630188,0.9475874900817871,0.9288719892501831,0.1475221961736679,0.9581151604652405
